,,,vancouverisland (CA-Ca3),,,,oregonYP (US-Me6),,,,WREF NEON,,,,ABBY NEON,,
2/13/17,2017,44,NA,0.37662,0.02,,0.36351,0.36525,0.00172,,NA,NA,NA,,NA,NA,NA
2/14/17,2017,45,NA,0.3766,0.02,,0.36528,0.36552,0.00176,,NA,NA,NA,,NA,NA,NA
2/15/17,2017,46,NA,0.37678,0.02,,0.37176,0.36561,0.00175,,NA,NA,NA,,NA,NA,NA
2/16/17,2017,47,NA,0.37702,0.02,,0.3694,0.36565,0.00174,,NA,NA,NA,,NA,NA,NA
2/17/17,2017,48,NA,0.37724,0.02,,0.3666,0.36565,0.00176,,NA,NA,NA,,NA,NA,NA
2/18/17,2017,49,NA,0.37732,0.02,,0.36564,0.3655,0.00173,,NA,NA,NA,,NA,NA,NA
2/19/17,2017,50,NA,0.37733,0.02,,0.36463,0.36517,0.0017,,NA,NA,NA,,NA,NA,NA
2/20/17,2017,51,NA,0.37737,0.02,,0.36718,0.36481,0.00171,,NA,NA,NA,,NA,NA,NA
2/21/17,2017,52,NA,0.37734,0.02,,0.36398,0.36458,0.00173,,NA,NA,NA,,NA,NA,NA
2/22/17,2017,53,NA,0.37704,0.02,,0.36328,0.36425,0.00171,,NA,NA,NA,,NA,NA,NA
2/23/17,2017,54,NA,0.37657,0.02,,0.36157,0.36375,0.00171,,NA,NA,NA,,NA,NA,NA
2/24/17,2017,55,NA,0.37625,0.02,,0.36096,0.36342,0.00173,,NA,NA,NA,,NA,NA,NA
2/25/17,2017,56,NA,0.37611,0.02,,0.3619,0.36315,0.00171,,NA,NA,NA,,NA,NA,NA
2/26/17,2017,57,NA,0.37595,0.02,,0.36285,0.36274,0.00168,,NA,NA,NA,,NA,NA,NA
2/27/17,2017,58,NA,0.37583,0.02,,0.36114,0.36239,0.00171,,NA,NA,NA,,NA,NA,NA
2/28/17,2017,59,NA,0.37578,0.02,,0.36174,0.36232,0.00173,,NA,NA,NA,,NA,NA,NA
3/1/17,2017,60,NA,0.37583,0.02,,0.36316,0.36241,0.00171,,NA,NA,NA,,NA,0.37797,0.02
3/2/17,2017,61,NA,0.37588,0.02,,0.36522,0.36255,0.00171,,NA,NA,NA,,NA,0.37788,0.02
3/3/17,2017,62,NA,0.37586,0.02,,0.36801,0.36289,0.00173,,NA,NA,NA,,NA,0.3778,0.02
3/4/17,2017,63,NA,0.37581,0.02,,0.36691,0.36356,0.0017,,NA,NA,NA,,NA,0.37773,0.02
3/5/17,2017,64,NA,0.37582,0.02,,0.36213,0.36451,0.00165,,NA,NA,NA,,NA,0.37768,0.02
3/6/17,2017,65,NA,0.37592,0.02,,0.35792,0.36563,0.00163,,NA,NA,NA,,NA,0.37765,0.02
3/7/17,2017,66,NA,0.37637,0.02,,0.36506,0.36683,0.00165,,NA,NA,NA,,NA,0.37763,0.02
3/8/17,2017,67,NA,0.37719,0.02,,0.36814,0.36801,0.0017,,NA,NA,NA,,NA,0.37763,0.02
3/9/17,2017,68,NA,0.37817,0.02,,0.3638,0.36906,0.00173,,NA,NA,NA,,NA,0.37765,0.02
3/10/17,2017,69,NA,0.37907,0.02,,0.36731,0.37027,0.00171,,NA,NA,NA,,NA,0.37769,0.02
3/11/17,2017,70,NA,0.37967,0.02,,0.37434,0.37178,0.00168,,NA,NA,NA,,NA,0.37776,0.02
3/12/17,2017,71,NA,0.38014,0.02,,0.37013,0.37327,0.00171,,NA,NA,NA,,NA,0.37783,0.02
3/13/17,2017,72,NA,0.38066,0.02,,0.37679,0.37441,0.00173,,NA,NA,NA,,NA,0.3779,0.02
3/14/17,2017,73,NA,0.38103,0.02,,0.37752,0.37547,0.00171,,NA,NA,NA,,NA,0.37799,0.02
3/15/17,2017,74,NA,0.38128,0.02,,0.38648,0.37666,0.00171,,NA,NA,NA,,NA,0.37811,0.02
3/16/17,2017,75,0.38118,0.3816,0.00512,,0.37865,0.37757,0.00173,,NA,NA,NA,,NA,0.3783,0.02
3/17/17,2017,76,0.38314,0.38203,0.00382,,0.37765,0.37809,0.00171,,NA,NA,NA,,NA,0.37857,0.02
3/18/17,2017,77,NA,0.38258,0.00304,,0.38171,0.37843,0.00168,,NA,NA,NA,,NA,0.37889,0.02
3/19/17,2017,78,0.38259,0.38321,0.00263,,0.37515,0.37867,0.00171,,NA,NA,NA,,NA,0.37926,0.02
3/20/17,2017,79,0.38198,0.38387,0.00243,,0.37968,0.37887,0.00173,,NA,NA,NA,,NA,0.37967,0.02
3/21/17,2017,80,0.38447,0.38454,0.00238,,0.37792,0.37865,0.00171,,NA,NA,NA,,NA,0.3801,0.02
3/22/17,2017,81,0.38652,0.38517,0.00243,,0.37904,0.37805,0.00171,,NA,NA,NA,,NA,0.38067,0.02
3/23/17,2017,82,0.38549,0.38586,0.00239,,0.37552,0.3777,0.00173,,NA,NA,NA,,NA,0.38136,0.02
3/24/17,2017,83,0.38716,0.38659,0.00231,,0.37719,0.37751,0.00171,,NA,NA,NA,,NA,0.38194,0.02
3/25/17,2017,84,0.38463,0.38718,0.00231,,0.37609,0.37709,0.00168,,NA,NA,NA,,NA,0.38239,0.02
3/26/17,2017,85,0.38735,0.38761,0.00226,,0.37609,0.37669,0.00171,,NA,NA,NA,,NA,0.38283,0.02
3/27/17,2017,86,0.38883,0.38799,0.00224,,0.37514,0.37653,0.00173,,NA,NA,NA,,NA,0.38323,0.02
3/28/17,2017,87,0.38926,0.38827,0.00228,,0.37827,0.37671,0.00171,,NA,NA,NA,,NA,0.38358,0.02
3/29/17,2017,88,0.39102,0.38838,0.00222,,0.37488,0.37701,0.00171,,NA,NA,NA,,NA,0.38392,0.02
3/30/17,2017,89,0.38815,0.38831,0.00213,,0.37714,0.37725,0.00173,,NA,NA,NA,,NA,0.38423,0.02
3/31/17,2017,90,0.38853,0.38816,0.00212,,0.37527,0.37745,0.0017,,NA,NA,NA,,NA,0.38452,0.02
4/1/17,2017,91,0.38686,0.38799,0.0022,,0.38,0.37776,0.00165,,NA,NA,NA,,NA,0.38476,0.02
4/2/17,2017,92,0.3882,0.38789,0.00226,,0.37566,0.37812,0.00163,,NA,NA,NA,,NA,0.38496,0.02
4/3/17,2017,93,0.38684,0.38769,0.0022,,0.37555,0.37848,0.00165,,NA,NA,NA,,NA,0.38509,0.02
4/4/17,2017,94,0.38777,0.38736,0.0022,,0.37979,0.3788,0.0017,,NA,NA,NA,,NA,0.38519,0.02
4/5/17,2017,95,0.38548,0.38719,0.00226,,0.38291,0.37903,0.00173,,NA,NA,NA,,NA,0.38525,0.02
4/6/17,2017,96,0.38536,0.38725,0.0022,,0.38613,0.37921,0.00171,,NA,NA,NA,,NA,0.38531,0.02
4/7/17,2017,97,0.3925,0.38738,0.0022,,0.382,0.37939,0.00168,,NA,NA,NA,,NA,0.38532,0.02
4/8/17,2017,98,0.38615,0.38752,0.00226,,0.37755,0.37955,0.00171,,NA,NA,NA,,NA,0.38527,0.02
4/9/17,2017,99,0.38478,0.38772,0.0022,,0.37834,0.37968,0.00173,,NA,NA,NA,,NA,0.3852,0.02
4/10/17,2017,100,0.38766,0.38801,0.00211,,0.37842,0.37971,0.00171,,NA,NA,NA,,NA,0.38516,0.02
4/11/17,2017,101,0.38841,0.38835,0.00211,,0.37599,0.37968,0.00171,,NA,NA,NA,,NA,0.38519,0.02
4/12/17,2017,102,0.38992,0.38867,0.0022,,0.37985,0.37966,0.00173,,NA,NA,NA,,NA,0.3852,0.02
4/13/17,2017,103,0.39107,0.38892,0.00226,,0.37806,0.37963,0.00171,,NA,NA,NA,,NA,0.38516,0.02
4/14/17,2017,104,0.38949,0.38913,0.0022,,0.37766,0.37951,0.00168,,NA,NA,NA,,NA,0.38522,0.02
4/15/17,2017,105,0.38982,0.38934,0.00211,,0.38175,0.37938,0.00171,,NA,NA,NA,,NA,0.38547,0.02
4/16/17,2017,106,0.38784,0.38955,0.00211,,0.37991,0.37932,0.00173,,NA,NA,NA,,NA,0.38581,0.02
4/17/17,2017,107,0.38988,0.38973,0.0022,,0.38205,0.37931,0.00171,,NA,NA,NA,,NA,0.38615,0.02
4/18/17,2017,108,0.39108,0.38989,0.00226,,0.37802,0.3793,0.00171,,NA,NA,NA,,NA,0.38655,0.02
4/19/17,2017,109,0.38743,0.39002,0.0022,,0.38295,0.37932,0.00173,,NA,NA,NA,,NA,0.38707,0.02
4/20/17,2017,110,0.38912,0.3901,0.00211,,0.37728,0.37932,0.00171,,NA,NA,NA,,NA,0.38762,0.02
4/21/17,2017,111,0.39076,0.39017,0.00211,,0.37783,0.37926,0.00168,,NA,NA,NA,,NA,0.38813,0.02
4/22/17,2017,112,0.39326,0.39023,0.0022,,0.37907,0.37924,0.00171,,NA,NA,NA,,NA,0.38854,0.02
4/23/17,2017,113,0.38986,0.39031,0.00226,,0.38249,0.37935,0.00173,,NA,NA,NA,,NA,0.38886,0.02
4/24/17,2017,114,0.38971,0.39034,0.0022,,0.37799,0.3795,0.00171,,NA,NA,NA,,NA,0.38915,0.02
4/25/17,2017,115,0.38894,0.39034,0.0022,,0.38002,0.37962,0.00171,,NA,NA,NA,,NA,0.38942,0.02
4/26/17,2017,116,0.39395,0.39041,0.00226,,0.37873,0.37986,0.00173,,NA,NA,NA,,NA,0.38967,0.02
4/27/17,2017,117,0.38891,0.39056,0.0022,,0.38222,0.38032,0.0017,,NA,NA,NA,,NA,0.38988,0.02
4/28/17,2017,118,0.39175,0.39072,0.0022,,0.37665,0.38094,0.00165,,NA,NA,NA,,NA,0.39005,0.02
4/29/17,2017,119,0.38942,0.3909,0.00226,,0.37993,0.38166,0.00163,,NA,NA,NA,,NA,0.39017,0.02
4/30/17,2017,120,0.39014,0.39116,0.0022,,0.3798,0.38241,0.00165,,NA,NA,NA,,NA,0.39025,0.02
5/1/17,2017,121,0.38906,0.39151,0.00211,,0.38531,0.38312,0.0017,,NA,NA,NA,,NA,0.39032,0.02
5/2/17,2017,122,0.39104,0.39189,0.00211,,0.3812,0.38371,0.00173,,NA,NA,NA,,NA,0.39038,0.02
5/3/17,2017,123,0.39452,0.39224,0.0022,,0.38242,0.38436,0.00171,,NA,NA,NA,,NA,0.39038,0.02
5/4/17,2017,124,0.39378,0.3925,0.00226,,0.38821,0.38517,0.00168,,NA,NA,NA,,NA,0.39033,0.02
5/5/17,2017,125,0.3934,0.39268,0.0022,,0.38904,0.38594,0.00171,,NA,NA,NA,,NA,0.39034,0.02
5/6/17,2017,126,0.39355,0.39282,0.00212,,0.39142,0.3865,0.00173,,NA,NA,NA,,NA,0.39038,0.02
5/7/17,2017,127,0.39397,0.39295,0.00213,,0.3851,0.38685,0.00171,,NA,NA,NA,,NA,0.3904,0.02
5/8/17,2017,128,0.39272,0.39305,0.00221,,0.38632,0.38715,0.00171,,NA,NA,NA,,NA,0.3905,0.02
5/9/17,2017,129,0.39112,0.39313,0.00226,,0.38646,0.3874,0.00173,,NA,NA,NA,,NA,0.3907,0.02
5/10/17,2017,130,0.39329,0.39311,0.0022,,0.39003,0.38746,0.00171,,NA,NA,NA,,NA,0.39098,0.02
5/11/17,2017,131,0.39577,0.39297,0.00214,,0.38951,0.38728,0.00168,,NA,NA,NA,,NA,0.39129,0.02
5/12/17,2017,132,0.39015,0.39281,0.00217,,0.38542,0.38708,0.00171,,NA,NA,NA,,NA,0.39161,0.02
5/13/17,2017,133,0.39118,0.39273,0.00228,,0.38676,0.38705,0.00173,,NA,NA,NA,,NA,0.39192,0.02
5/14/17,2017,134,0.39428,0.39282,0.00235,,0.38841,0.38697,0.00171,,NA,NA,NA,,NA,0.39199,0.02
5/15/17,2017,135,0.39232,0.39304,0.0023,,0.38605,0.38674,0.00171,,NA,NA,NA,,NA,0.39174,0.02
5/16/17,2017,136,0.39458,0.3933,0.00232,,0.38538,0.38669,0.00173,,NA,NA,NA,,NA,0.39145,0.02
5/17/17,2017,137,0.39438,0.39368,0.00239,,0.38475,0.38687,0.00171,,NA,NA,NA,,NA,0.39137,0.02
5/18/17,2017,138,NA,0.39423,0.00236,,0.38469,0.38708,0.00168,,NA,NA,NA,,NA,0.39174,0.02
5/19/17,2017,139,0.39229,0.39489,0.00239,,0.38564,0.38733,0.00171,,NA,NA,NA,,NA,0.39334,0.02
5/20/17,2017,140,0.39629,0.39561,0.00246,,0.38729,0.38764,0.00173,,NA,NA,NA,,NA,0.39628,0.02
5/21/17,2017,141,0.395,0.39648,0.00239,,0.38888,0.38817,0.00171,,NA,NA,NA,,NA,0.39984,0.02
5/22/17,2017,142,0.3988,0.39754,0.00229,,0.39021,0.38886,0.00171,,NA,NA,NA,,NA,0.40328,0.02
5/23/17,2017,143,0.39865,0.39869,0.00227,,0.39312,0.38944,0.00173,,NA,NA,NA,,NA,0.40589,0.02
5/24/17,2017,144,0.38518,0.3998,0.00234,,0.3859,0.39001,0.00171,,NA,NA,NA,,NA,0.40721,0.02
5/25/17,2017,145,0.39965,0.40077,0.00239,,0.39136,0.39076,0.00168,,NA,NA,NA,,NA,0.40808,0.02
5/26/17,2017,146,0.40169,0.40166,0.00231,,0.39035,0.3915,0.00171,,NA,NA,NA,,NA,0.40962,0.02
5/27/17,2017,147,0.40405,0.40255,0.0022,,0.39247,0.39204,0.00173,,NA,NA,NA,,NA,0.41289,0.02
5/28/17,2017,148,0.40556,0.40344,0.00218,,0.393,0.39245,0.00171,,NA,NA,NA,,NA,0.41641,0.02
5/29/17,2017,149,0.40609,0.40427,0.00224,,0.39425,0.39287,0.00171,,NA,NA,NA,,NA,0.41757,0.02
5/30/17,2017,150,0.40376,0.40501,0.00228,,0.39516,0.3932,0.00173,,NA,NA,NA,,0.41659,0.41686,0.00654
5/31/17,2017,151,0.40481,0.40567,0.00221,,0.3944,0.39335,0.00171,,NA,NA,NA,,0.4157,0.4165,0.00466
6/1/17,2017,152,0.40415,0.40626,0.00212,,0.39377,0.39337,0.00168,,NA,NA,NA,,0.4178,0.41648,0.00358
6/2/17,2017,153,0.40528,0.40679,0.00211,,0.39281,0.39335,0.00171,,NA,NA,NA,,0.41539,0.41676,0.00314
6/3/17,2017,154,0.40825,0.40727,0.00221,,0.39357,0.39337,0.00173,,NA,NA,NA,,0.42216,0.41732,0.00311
6/4/17,2017,155,0.40901,0.40771,0.00228,,0.39322,0.39332,0.00171,,NA,NA,NA,,0.41659,0.41827,0.00315
6/5/17,2017,156,0.40818,0.40814,0.00222,,0.39081,0.39316,0.00171,,NA,NA,NA,,0.40882,0.41958,0.00306
6/6/17,2017,157,0.40887,0.40856,0.00221,,0.39288,0.39306,0.00173,,NA,NA,NA,,0.41643,0.42105,0.00297
6/7/17,2017,158,0.4094,0.40891,0.00226,,0.39187,0.39299,0.00171,,NA,NA,NA,,0.42618,0.4225,0.00296
6/8/17,2017,159,0.40987,0.4092,0.00221,,0.39712,0.39282,0.00168,,NA,NA,NA,,0.43048,0.4237,0.00301
6/9/17,2017,160,0.40828,0.40943,0.00221,,0.3917,0.39266,0.00171,,NA,NA,NA,,0.42639,0.42492,0.00295
6/10/17,2017,161,0.40973,0.4096,0.00226,,0.38958,0.39257,0.00173,,NA,NA,NA,,0.42647,0.42634,0.00282
6/11/17,2017,162,0.40955,0.40964,0.00222,,0.3916,0.39253,0.00171,,NA,NA,NA,,0.42506,0.42773,0.00278
6/12/17,2017,163,0.40931,0.40957,0.00217,,0.39462,0.39247,0.00171,,NA,NA,NA,,0.43151,0.42882,0.00286
6/13/17,2017,164,0.40934,0.40946,0.0022,,0.38993,0.39247,0.00174,,NA,NA,NA,,0.42685,0.42936,0.00293
6/14/17,2017,165,0.40667,0.40934,0.00227,,0.39239,0.39251,0.00172,,NA,NA,NA,,0.42563,0.42915,0.00287
6/15/17,2017,166,0.41521,0.4093,0.0023,,0.39835,0.39257,0.00173,,NA,NA,NA,,0.43172,0.42846,0.00287
6/16/17,2017,167,0.40956,0.40934,0.00225,,0.39165,0.39265,0.00178,,NA,NA,NA,,0.43142,0.42776,0.00293
6/17/17,2017,168,0.40659,0.40938,0.00233,,0.39157,0.39277,0.0018,,NA,NA,NA,,0.43307,0.42668,0.00287
6/18/17,2017,169,0.40377,0.40931,0.00246,,0.39123,0.39291,0.00178,,NA,NA,NA,,0.42237,0.4251,0.00287
6/19/17,2017,170,0.4093,0.40905,0.00252,,0.39331,0.39308,0.00179,,NA,NA,NA,,0.41819,0.42391,0.00293
6/20/17,2017,171,0.41263,0.40872,0.00267,,0.39391,0.39328,0.0018,,NA,NA,NA,,0.43305,0.42315,0.00285
6/21/17,2017,172,0.412,0.40842,0.00281,,0.3943,0.3935,0.00174,,NA,NA,NA,,0.41769,0.42231,0.00274
6/22/17,2017,173,NA,0.40815,0.00274,,0.39245,0.39375,0.00172,,NA,NA,NA,,0.41633,0.42147,0.00274
6/23/17,2017,174,NA,0.40782,0.00261,,0.3923,0.39403,0.00176,,NA,NA,NA,,0.41487,0.42072,0.00285
6/24/17,2017,175,NA,0.40747,0.00261,,0.39297,0.39432,0.00186,,NA,NA,NA,,0.41506,0.42014,0.00293
6/25/17,2017,176,NA,0.40713,0.00274,,0.39516,0.39461,0.00199,,NA,NA,NA,,0.41696,0.41987,0.00285
6/26/17,2017,177,0.39996,0.40684,0.00281,,0.39946,0.39491,0.00207,,NA,NA,NA,,0.42897,0.4199,0.00274
6/27/17,2017,178,0.40779,0.40658,0.00267,,0.39699,0.39529,0.00209,,NA,NA,NA,,0.4251,0.42005,0.00274
6/28/17,2017,179,0.4071,0.40631,0.00252,,0.39217,0.39578,0.00215,,NA,NA,NA,,0.42423,0.42013,0.00285
6/29/17,2017,180,0.40729,0.40603,0.00246,,NA,0.39627,0.00226,,NA,NA,NA,,0.41819,0.41998,0.00293
6/30/17,2017,181,0.40633,0.40587,0.00233,,NA,0.39666,0.00234,,NA,NA,NA,,0.41491,0.41953,0.00285
7/1/17,2017,182,0.4063,0.40584,0.00225,,NA,0.39697,0.0023,,NA,NA,NA,,0.42338,0.41889,0.00274
7/2/17,2017,183,0.40594,0.40575,0.0023,,NA,0.39728,0.0023,,NA,NA,NA,,0.41534,0.41816,0.00274
7/3/17,2017,184,0.40518,0.40548,0.00227,,NA,0.39757,0.00234,,NA,NA,NA,,0.4236,0.41743,0.00285
7/4/17,2017,185,0.40512,0.40508,0.0022,,NA,0.39782,0.00226,,NA,NA,NA,,0.41165,0.41681,0.00293
7/5/17,2017,186,0.40435,0.40462,0.00217,,0.39909,0.39802,0.00215,,NA,NA,NA,,0.41271,0.41627,0.00287
7/6/17,2017,187,0.40494,0.40418,0.00222,,0.39918,0.39821,0.00209,,NA,NA,NA,,0.4129,0.41575,0.00287
7/7/17,2017,188,0.40502,0.40382,0.00226,,0.39833,0.39844,0.00207,,NA,NA,NA,,0.42244,0.41524,0.00293
7/8/17,2017,189,0.40274,0.40352,0.0022,,0.39862,0.3987,0.00198,,NA,NA,NA,,0.41111,0.41482,0.00287
7/9/17,2017,190,0.40195,0.40321,0.00211,,0.39907,0.39896,0.00188,,NA,NA,NA,,0.41175,0.41449,0.00287
7/10/17,2017,191,0.4007,0.40292,0.00211,,0.3995,0.39921,0.00183,,NA,NA,NA,,0.4227,0.4141,0.00293
7/11/17,2017,192,0.40404,0.40269,0.0022,,0.3976,0.39941,0.00176,,NA,NA,NA,,0.40973,0.4136,0.00285
7/12/17,2017,193,0.40342,0.40254,0.00226,,0.39833,0.39958,0.00171,,NA,NA,NA,,0.41102,0.41305,0.00274
7/13/17,2017,194,0.40203,0.4025,0.0022,,0.39987,0.39975,0.00175,,NA,NA,NA,,0.42049,0.41251,0.00274
7/14/17,2017,195,0.40291,0.40255,0.00211,,0.40015,0.39993,0.00182,,NA,NA,NA,,0.40959,0.41202,0.00285
7/15/17,2017,196,0.40232,0.40264,0.00211,,0.40095,0.40018,0.00181,,NA,NA,NA,,0.4097,0.41163,0.00293
7/16/17,2017,197,0.40147,0.40276,0.0022,,0.40193,0.40048,0.00177,,NA,NA,NA,,0.41061,0.41135,0.00285
7/17/17,2017,198,0.40325,0.40285,0.00226,,0.40015,0.40073,0.00178,,NA,NA,NA,,0.40832,0.41117,0.00274
7/18/17,2017,199,0.40419,0.40299,0.0022,,0.40098,0.40095,0.00175,,NA,NA,NA,,0.40902,0.41103,0.00274
7/19/17,2017,200,0.40297,0.40317,0.0022,,0.40193,0.40118,0.0017,,NA,NA,NA,,0.40742,0.4109,0.00285
7/20/17,2017,201,0.40428,0.40331,0.00226,,0.40208,0.40141,0.00166,,NA,NA,NA,,0.41901,0.41074,0.00293
7/21/17,2017,202,0.4019,0.40341,0.0022,,0.40027,0.40162,0.00167,,NA,NA,NA,,0.4081,0.41063,0.00285
7/22/17,2017,203,0.40293,0.40352,0.0022,,0.39928,0.40179,0.00171,,NA,NA,NA,,0.4079,0.41061,0.00274
7/23/17,2017,204,0.40444,0.40361,0.00226,,0.4021,0.40193,0.00173,,NA,NA,NA,,0.41923,0.41059,0.00274
7/24/17,2017,205,0.40362,0.40368,0.0022,,0.40256,0.40197,0.00171,,NA,NA,NA,,0.40775,0.41051,0.00285
7/25/17,2017,206,0.40421,0.40375,0.00211,,0.40269,0.40194,0.00168,,NA,NA,NA,,0.40792,0.41029,0.00293
7/26/17,2017,207,0.40414,0.40381,0.00211,,0.40697,0.40191,0.00171,,NA,NA,NA,,0.4079,0.40982,0.00285
7/27/17,2017,208,0.40391,0.40383,0.0022,,0.40035,0.40193,0.00173,,NA,NA,NA,,0.41798,0.40914,0.00274
7/28/17,2017,209,0.40313,0.40381,0.00226,,0.4032,0.402,0.00171,,NA,NA,NA,,0.40639,0.40838,0.00274
7/29/17,2017,210,0.40332,0.40372,0.0022,,0.40099,0.40206,0.00171,,NA,NA,NA,,0.40589,0.40771,0.00285
7/30/17,2017,211,0.4033,0.40359,0.0022,,0.40103,0.40213,0.00173,,NA,NA,NA,,0.40575,0.40724,0.00293
7/31/17,2017,212,0.40317,0.40345,0.00226,,0.40247,0.40225,0.00171,,NA,NA,NA,,0.40492,0.40697,0.00285
8/1/17,2017,213,0.40379,0.40327,0.0022,,0.39856,0.40242,0.00168,,NA,NA,NA,,0.4049,0.40677,0.00274
8/2/17,2017,214,0.40446,0.40305,0.0022,,0.40169,0.40257,0.00171,,NA,NA,NA,,0.4074,0.40664,0.00274
8/3/17,2017,215,0.40402,0.40284,0.00226,,0.40146,0.40263,0.00173,,NA,NA,NA,,0.40865,0.40659,0.00285
